#   Step          Temp          Press          PotEng         KinEng         TotEng         E_pair    
    209000   1.0141252      0.93223036     15.947802      1.5210357      17.468838     -4.6407575    
    210000   1.0013242      0.87084999     15.963508      1.5018361      17.465344     -4.629498     
    211000   0.9946282      0.81777334     15.971466      1.4917931      17.463259     -4.6236459    
    212000   1.0057951      0.92292852     15.956693      1.5085417      17.465235     -4.6444048    
    213000   1.0128984      1.0156101      15.945691      1.5191956      17.464887     -4.6577496    
    214000   1.0173914      1.1274861      15.93713       1.5259345      17.463065     -4.6596741    
    215000   1.0041438      1.1430439      15.954558      1.5060651      17.460623     -4.6469598    
    216000   1.0007008      1.2121031      15.955701      1.500901       17.456602     -4.6440535    
    217000   1.0134298      1.0909618      15.932508      1.5199927      17.452501     -4.6554059    
    218000   1.0086229      0.92624917     15.935672      1.5127831      17.448455     -4.6489697    
    219000   1.002556       1.004394       15.9424        1.5036836      17.446084     -4.6510486    
    220000   1.0049387      1.0090314      15.934226      1.5072573      17.441484     -4.6537914    
    221000   0.99371545     1.145972       15.94843       1.4904241      17.438855     -4.6473926    
    222000   0.99433678     1.2867662      15.943818      1.491356       17.435174     -4.6456972    
    223000   1.0077298      0.9101361      15.919998      1.5114435      17.431442     -4.6671331    
    224000   0.99646972     1.0369738      15.932742      1.4945551      17.427297     -4.6648608    
    225000   1.0098942      1.2090421      15.911643      1.5146898      17.426332     -4.6685118    
    226000   0.99754956     1.0258642      15.926952      1.4961747      17.423127     -4.6664323    
    227000   0.98869334     1.1360736      15.93549       1.4828917      17.418382     -4.6558536    
    228000   0.99614788     0.98969906     15.920608      1.4940724      17.41468      -4.6668945    
    229000   0.9976573      1.1879476      15.915267      1.4963363      17.411603     -4.6709582    
    230000   1.0010609      0.95154795     15.905908      1.5014412      17.407349     -4.6787719    
    231000   0.98967123     1.0139004      15.918607      1.4843584      17.402965     -4.663431     
    232000   1.0040181      1.0439011      15.898376      1.5058766      17.404252     -4.6915201    
    233000   0.98313472     0.95430218     15.924378      1.4745546      17.398933     -4.6632799    
    234000   0.98588535     0.98965214     15.917854      1.4786801      17.396534     -4.6674887    
