#   Step          Temp          Press          PotEng         KinEng         TotEng         E_pair    
    223000   1.0054182     -0.0043197079   16.731778      1.5079765      18.239754     -3.866336     
    224000   0.99779841    -0.0066416025   16.743901      1.4965479      18.240449     -3.8600205    
    225000   1.0012939     -0.0075032891   16.739405      1.5017906      18.241196     -3.8597301    
    226000   0.99892105     0.011856966    16.743868      1.4982317      18.2421       -3.8758699    
    227000   0.99899566    -0.007028351    16.744709      1.4983436      18.243053     -3.8634068    
    228000   1.0027332      4.9217952e-05  16.740154      1.5039493      18.244103     -3.8760981    
    229000   0.9969232      0.0038480769   16.74982       1.4952353      18.245055     -3.8630652    
    230000   0.99267653    -0.014379834    16.756999      1.4888659      18.245865     -3.8616063    
    231000   0.99632563    -0.0015778996   16.752356      1.494339       18.246695     -3.8697482    
    232000   1.0059547      0.0038713296   16.738636      1.5087812      18.247417     -3.8716972    
    233000   1.0046475     -0.0068802863   16.741219      1.5068206      18.248039     -3.8576423    
    234000   1.0042284     -0.012675267    16.742461      1.506192       18.248653     -3.8601079    
    235000   0.98671429     0.011477917    16.769381      1.4799234      18.249305     -3.8429576    
    236000   0.99346425     0.01214552     16.759961      1.4900473      18.250009     -3.8560329    
    237000   1.0075181     -0.0061461239   16.739598      1.511126       18.250724     -3.8690214    
    238000   1.0061013     -0.011023412    16.742388      1.5090011      18.251389     -3.8627101    
    239000   0.9997101      0.0044887505   16.752548      1.4994152      18.251963     -3.857993     
    240000   0.99820149    -0.00063549064  16.755335      1.4971525      18.252487     -3.8578022    
    241000   1.0105346      0.0028848681   16.737316      1.5156504      18.252966     -3.8713402    
    242000   1.0043493     -0.0047318368   16.746868      1.5063733      18.253241     -3.853936     
    243000   0.99250189    -0.0021637855   16.764876      1.488604       18.25348      -3.8494277    
    244000   1.0083846     -0.0028512149   16.741334      1.5124256      18.25376      -3.8667521    
    245000   1.0024955      0.015207994    16.750328      1.5035928      18.253921     -3.8551428    
    246000   1.0106942      0.0018116267   16.738028      1.5158897      18.253918     -3.864624     
    247000   0.99595694    -0.0077746968   16.759951      1.493786       18.253737     -3.8470658    
    248000   1.0001837      0.011933972    16.753297      1.5001256      18.253423     -3.8659585    
    249000   1.004858      -0.030157141    16.745917      1.5071362      18.253053     -3.856958     
    250000   1.0014863      0.011398072    16.750677      1.5020793      18.252757     -3.8532372    
    251000   1.0032897      0.016679685    16.747507      1.5047841      18.252291     -3.8550342    
    252000   0.99572066     0.00051253192  16.758265      1.4934316      18.251697     -3.8580184    
    253000   1.0190156      0.0045158682   16.722641      1.5283705      18.251012     -3.8799692    
    254000   1.0167965     -0.0035739267   16.725158      1.5250423      18.2502       -3.8834055    
    255000   1.0074964     -0.013310693    16.738115      1.5110934      18.249208     -3.8820757    
    256000   1.0083143     -0.004201725    16.735597      1.5123203      18.247918     -3.8705034    
    257000   1.0106998      0.010419945    16.730474      1.515898       18.246372     -3.8807372    
    258000   1.0103922     -0.0067912462   16.729138      1.5154367      18.244575     -3.8768727    
    259000   1.0083904     -0.008615551    16.730182      1.5124344      18.242616     -3.870403     
    260000   1.0116087     -0.0048351662   16.723277      1.5172613      18.240538     -3.8872557    
    261000   1.0040577      0.018815379    16.732314      1.5059359      18.23825      -3.8667353    
    262000   1.0002425      0.00019699134  16.735647      1.5002137      18.235861     -3.8698913    
    263000   0.9991199      0.0038565326   16.734876      1.49853        18.233406     -3.8812461    
    264000   1.0048638      0.007484503    16.723761      1.507145       18.230906     -3.8896651    
    265000   0.99189023     0.010318248    16.740616      1.4876866      18.228303     -3.8630572    
    266000   0.99233308    -0.0025774968   16.737449      1.4883508      18.2258       -3.8725092    
    267000   0.99746124    -0.0056588353   16.727441      1.4960422      18.223483     -3.8709574    
    268000   0.99724149     0.00085347332  16.725615      1.4957126      18.221327     -3.8778519    
    269000   1.0091418      0.008883438    16.705585      1.5135613      18.219146     -3.9035915    
    270000   0.99417623     0.0098834174   16.725728      1.4911152      18.216843     -3.8805738    
    271000   0.99075671    -0.0049442984   16.728635      1.4859864      18.214622     -3.8788195    
    272000   1.003527      -0.0053078221   16.707304      1.50514        18.212444     -3.891687     
    273000   0.99454524     0.017644662    16.718685      1.4916687      18.210354     -3.8840545    
    274000   0.98697714     0.0011330133   16.727992      1.4803177      18.208309     -3.8809205    
    275000   0.98111838     0.0025016622   16.734891      1.4715304      18.206422     -3.8680936    
    276000   1.0015877      0.0028347166   16.702547      1.5022313      18.204778     -3.8916173    
    277000   1.0014568     -0.0006260068   16.701237      1.5020349      18.203272     -3.8914717    
    278000   0.99446165     0.021767512    16.710399      1.4915433      18.201943     -3.893013     
    279000   0.99041384    -0.0033481364   16.715248      1.4854722      18.20072      -3.8839659    
    280000   0.9925638      0.007861619    16.710903      1.4886968      18.1996       -3.9018426    
    281000   0.99891472    -0.0049597194   16.700459      1.4982222      18.198681     -3.8975461    
    282000   0.99458272     0.00047465132  16.706254      1.4917249      18.197978     -3.8831155    
    283000   0.99899691    -0.0022702802   16.699071      1.4983455      18.197416     -3.8903221    
    284000   0.98755145    -0.0015631617   16.71575       1.481179       18.196929     -3.8806655    
    285000   0.97714915    -0.00040303019  16.731287      1.4655771      18.196864     -3.8766768    
    286000   0.99206712     0.00802943     16.709337      1.4879519      18.197289     -3.9017703    
    287000   0.99895138     0.0095509469   16.699658      1.4982772      18.197935     -3.8979258    
    288000   0.98802163    -0.015475823    16.716878      1.4818842      18.198763     -3.8808062    
    289000   0.98625803    -0.02231991     16.720683      1.4792391      18.199922     -3.8858498    
    290000   1.0046477      0.0020270486   16.694608      1.5068208      18.201429     -3.900339     
    291000   1.0065929     -0.005586052    16.693327      1.5097384      18.203065     -3.9161861    
    292000   0.98911239     0.010934897    16.721127      1.4835202      18.204647     -3.9021583    
    293000   1.0180385      0.00060374972  16.679371      1.526905       18.206276     -3.9099573    
    294000   1.0050345      0.013903536    16.700529      1.507401       18.20793      -3.8928013    
    295000   1.0039817     -0.011523139    16.703681      1.5058219      18.209503     -3.9021277    
    296000   0.99063754     0.0090153407   16.725356      1.4858077      18.211164     -3.8880788    
