#Step TotalEnergy Pressure AcceptanceRatio Temperature LongRangeCorrection Density
2160000 -3135.5 2.18953 0.435979 0.85 -139.599 0.900232
2170000 -3157.72 1.92555 0.436 0.85 -139.599 0.900232
2180000 -3111.66 2.30322 0.43597 0.85 -139.599 0.900232
2190000 -3067.6 2.74331 0.43599 0.85 -139.599 0.900232
2200000 -3109.88 2.38608 0.435997 0.85 -139.599 0.900232
2210000 -3121.14 2.33358 0.435987 0.85 -139.599 0.900232
2220000 -3118.46 2.42673 0.43595 0.85 -139.599 0.900232
2230000 -3068.43 2.78996 0.43595 0.85 -139.599 0.900232
2240000 -3099.59 2.47608 0.435929 0.85 -139.599 0.900232
2250000 -3100.54 2.58793 0.435933 0.85 -139.599 0.900232
2260000 -3077.5 2.79484 0.435934 0.85 -139.599 0.900232
2270000 -3121.38 2.27124 0.435928 0.85 -139.599 0.900232
2280000 -3104.39 2.43541 0.435908 0.85 -139.599 0.900232
2290000 -3105.61 2.42158 0.43589 0.85 -139.599 0.900232
2300000 -3086.14 2.6294 0.435865 0.85 -139.599 0.900232
2310000 -3090.38 2.66576 0.435831 0.85 -139.599 0.900232
2320000 -3127.65 2.17662 0.435801 0.85 -139.599 0.900232
2330000 -3115.31 2.3778 0.435776 0.85 -139.599 0.900232
2340000 -3146.36 2.02289 0.435801 0.85 -139.599 0.900232
2350000 -3135.5 2.15806 0.435789 0.85 -139.599 0.900232
2360000 -3109.87 2.35697 0.435793 0.85 -139.599 0.900232
2370000 -3115.74 2.27944 0.435835 0.85 -139.599 0.900232
2380000 -3123.77 2.25504 0.435864 0.85 -139.599 0.900232
2390000 -3131.68 2.19175 0.435871 0.85 -139.599 0.900232
2400000 -3139.25 2.10457 0.435856 0.85 -139.599 0.900232
2410000 -3100.53 2.42665 0.435826 0.85 -139.599 0.900232
2420000 -3098.59 2.42344 0.43582 0.85 -139.599 0.900232
2430000 -3084.49 2.6246 0.43582 0.85 -139.599 0.900232
2440000 -3087.84 2.59167 0.435784 0.85 -139.599 0.900232
2450000 -3109.99 2.3453 0.435775 0.85 -139.599 0.900232
2460000 -3094.27 2.47985 0.435769 0.85 -139.599 0.900232
2470000 -3117.55 2.25163 0.43577 0.85 -139.599 0.900232
2480000 -3093.19 2.48325 0.435809 0.85 -139.599 0.900232
